code,name,listingDate,shares,listingBoard
ACST,Acset Indonusa Tbk.,2013-06-24T00:00:00,12675160000.0,Pengembangan
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18T00:00:00,8407608979.0,Utama
ARKO,Arkora Hydro Tbk.,2022-07-08T00:00:00,2928495000.0,Pengembangan
ASLI,Asri Karya Lestari Tbk.,2024-01-05T00:00:00,6250000000.0,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,2014-03-13T00:00:00,3934592500.0,Utama
BDKR,Berdikari Pondasi Perkasa Tbk.,2023-03-03T00:00:00,4725101522.0,Utama
BREN,Barito Renewables Energy Tbk.,2023-10-09T00:00:00,133786220000.0,Utama
BTEL,Bakrie Telecom Tbk.,2006-02-03T00:00:00,36822665755.0,Pemantauan Khusus
BUKK,Bukaka Teknik Utama Tbk.,2015-06-29T00:00:00,2640452000.0,Pengembangan
CASS,Cardig Aero Services Tbk.,2011-12-05T00:00:00,2086950000.0,Utama
CENT,Centratama Telekomunikasi Indo,2001-11-01T00:00:00,31183464900.0,Pemantauan Khusus
CMNP,Citra Marga Nusaphala Persada ,1995-01-10T00:00:00,5437189567.0,Utama
DATA,Remala Abadi Tbk.,2024-05-07T00:00:00,1375000000.0,Pengembangan
DGIK,Nusa Konstruksi Enjiniring Tbk,2007-12-19T00:00:00,5541165000.0,Pengembangan
EXCL,XL Axiata Tbk.,2005-09-29T00:00:00,13128430665.0,Utama
FIMP,Fimperkasa Utama Tbk.,2021-04-09T00:00:00,400000975.0,Akselerasi
FREN,Smartfren Telecom Tbk.,2006-11-29T00:00:00,476703803077.0,Pemantauan Khusus
GHON,Gihon Telekomunikasi Indonesia,2018-04-09T00:00:00,550000000.0,Pengembangan
GMFI,Garuda Maintenance Facility Ae,2017-10-10T00:00:00,28233511500.0,Pemantauan Khusus
GOLD,Visi Telekomunikasi Infrastruk,2010-07-07T00:00:00,1277276000.0,Pengembangan
HADE,Himalaya Energi Perkasa Tbk.,2004-04-12T00:00:00,2120000000.0,Pemantauan Khusus
IBST,Inti Bangun Sejahtera Tbk.,2012-08-31T00:00:00,1350904927.0,Pemantauan Khusus
IDPR,Indonesia Pondasi Raya Tbk.,2015-12-10T00:00:00,2003000000.0,Pengembangan
INET,Sinergi Inti Andalan Prima Tbk,2023-07-24T00:00:00,7500043261.0,Pengembangan
IPCC,Indonesia Kendaraan Terminal T,2018-07-09T00:00:00,1818384820.0,Utama
IPCM,Jasa Armada Indonesia Tbk.,2017-12-22T00:00:00,5284811100.0,Pengembangan
ISAT,Indosat Tbk.,1994-10-19T00:00:00,8062702740.0,Utama
JAST,Jasnita Telekomindo Tbk.,2019-05-16T00:00:00,1082575738.0,Pemantauan Khusus
JKON,Jaya Konstruksi Manggala Prata,2007-12-04T00:00:00,16308519860.0,Utama
JSMR,Jasa Marga (Persero) Tbk.,2007-11-12T00:00:00,7257871200.0,Utama
KARW,Meratus Jasa Prima Tbk.,1994-12-20T00:00:00,587152700.0,Pemantauan Khusus
KBLV,First Media Tbk.,2000-02-25T00:00:00,1742167907.0,Pemantauan Khusus
KEEN,Kencana Energi Lestari Tbk.,2019-09-02T00:00:00,3666312500.0,Utama
KETR,Ketrosden Triasmitra Tbk.,2021-01-11T00:00:00,2841262838.0,Pengembangan
KOKA,Koka Indonesia Tbk.,2023-10-11T00:00:00,2861333000.0,Pengembangan
KRYA,Bangun Karya Perkasa Jaya Tbk.,2022-07-25T00:00:00,1663943474.0,Pengembangan
LCKM,LCK Global Kedaton Tbk.,2018-01-16T00:00:00,1000000000.0,Pengembangan
LINK,Link Net Tbk.,2014-06-02T00:00:00,2863195484.0,Pengembangan
MANG,Manggung Polahraya Tbk.,2024-01-11T00:00:00,3812500000.0,Akselerasi
META,Nusantara Infrastructure Tbk.,2001-07-18T00:00:00,17710708194.0,Pengembangan
MORA,Mora Telematika Indonesia Tbk.,2022-08-08T00:00:00,23646668691.0,Utama
MPOW,Megapower Makmur Tbk.,2017-07-05T00:00:00,816997053.0,Pengembangan
MTEL,Dayamitra Telekomunikasi Tbk.,2021-11-22T00:00:00,83552719544.0,Utama
MTPS,Meta Epsi Tbk.,2019-04-10T00:00:00,2084850829.0,Pemantauan Khusus
MTRA,Mitra Pemuda Tbk.,2016-02-10T00:00:00,770000000.0,Pemantauan Khusus
NRCA,Nusa Raya Cipta Tbk.,2013-06-27T00:00:00,2496258344.0,Pengembangan
OASA,Maharaksa Biru Energi Tbk.,2016-07-18T00:00:00,6347220000.0,Pengembangan
PBSA,Paramita Bangun Sarana Tbk.,2016-09-28T00:00:00,3000000000.0,Pengembangan
PGEO,Pertamina Geothermal Energy Tb,2023-02-24T00:00:00,41495007591.0,Utama
PORT,Nusantara Pelabuhan Handal Tbk,2017-03-16T00:00:00,2813941985.0,Pengembangan
POWR,Cikarang Listrindo Tbk.,2016-06-14T00:00:00,16087156000.0,Utama
PPRE,PP Presisi Tbk.,2017-11-24T00:00:00,10224271000.0,Pengembangan
PTDU,Djasa Ubersakti Tbk.,2020-12-08T00:00:00,1500000000.0,Pemantauan Khusus
PTPP,PP (Persero) Tbk.,2010-02-09T00:00:00,6199897354.0,Utama
PTPW,Pratama Widya Tbk.,2020-02-07T00:00:00,878187500.0,Pengembangan
RONY,Aesler Grup Internasional Tbk.,2020-04-09T00:00:00,1250000000.0,Pengembangan
SMKM,Sumber Mas Konstruksi Tbk.,2022-03-09T00:00:00,1253000000.0,Akselerasi
SSIA,Surya Semesta Internusa Tbk.,1997-03-27T00:00:00,4705249440.0,Utama
SUPR,Solusi Tunas Pratama Tbk.,2011-10-11T00:00:00,1137579698.0,Pemantauan Khusus
TAMA,Lancartama Sejati Tbk.,2020-02-10T00:00:00,1200000696.0,Pemantauan Khusus
TBIG,Tower Bersama Infrastructure T,2010-10-26T00:00:00,22656999445.0,Utama
TGRA,Terregra Asia Energy Tbk.,2017-05-16T00:00:00,2750000000.0,Pemantauan Khusus
TLKM,Telkom Indonesia (Persero) Tbk,1995-11-14T00:00:00,99062216600.0,Utama
TOPS,Totalindo Eka Persada Tbk.,2017-06-16T00:00:00,33330000000.0,Pemantauan Khusus
TOTL,Total Bangun Persada Tbk.,2006-07-25T00:00:00,3410000000.0,Utama
TOWR,Sarana Menara Nusantara Tbk.,2010-03-08T00:00:00,51014625000.0,Utama
WEGE,Wijaya Karya Bangunan Gedung T,2017-11-30T00:00:00,9572000000.0,Utama
WIKA,Wijaya Karya (Persero) Tbk.,2007-10-29T00:00:00,39873063858.0,Pengembangan
WSKT,Waskita Karya (Persero) Tbk.,2012-12-19T00:00:00,28806807016.0,Pemantauan Khusus
